paragraph_number,element_type,element_code,footnote_number,footnote_content,paragraph_text_preview
1969,,,5051,"P-2422 Statement, CAR-OTP-2110-0801-R02, at 0828-29, para. 87.","Zenaba Oumar stated that about two days after the attack on Gaga, a number of trucks passed through Yaloké bound for Cameroon and were stopped in Zawa by fleeing Muslims who wanted transport out of the area. The witness stated that the Anti-Balaka discussed the 'evacuations' of Muslims from Yaloké and were very happy that they had left. She recalled hearing them discussing that the Muslims had all gone, after the 'final evacuation' of the remaining Muslims from Yaloké and discussing an ambush attempt on a convoy of Muslims from Gbawi bound for Bangui."
1969,,,5052,"P-2422 Statement, CAR-OTP-2110-0801-R02, at 0829, paras 88-89.","Zenaba Oumar stated that about two days after the attack on Gaga, a number of trucks passed through Yaloké bound for Cameroon and were stopped in Zawa by fleeing Muslims who wanted transport out of the area. The witness stated that the Anti-Balaka discussed the 'evacuations' of Muslims from Yaloké and were very happy that they had left. She recalled hearing them discussing that the Muslims had all gone, after the 'final evacuation' of the remaining Muslims from Yaloké and discussing an ambush attempt on a convoy of Muslims from Gbawi bound for Bangui."
1970,witness_P,P-1577,5053,"P-1577 Statement, CAR-OTP-2081-0769-R01, at 0817, para. 61. *See also* Post, CAR-OTP-2081-0923-R01, at 0945; HRW Report, CAR-OTP-2001-2308, at 2330.",P-1577 stated that he heard from Muslims at the Yaloké mosque that the Anti-Balaka had issued an ultimatum calling for the Muslims to leave and was told that 'a significant number of Muslims subsequently fled en masse as a result of this threat'.
1971,,,,,"The evidence as outlined below shows that in addition to the attacks within Yaloké, the Anti-Balaka also attacked a large group of Mbororo/Peuhl near Gaga and Yaloké, keeping them first in Gaga and then in Yaloké, where the group stayed for more than two years."
1972,,,5054,"The Chamber notes that in this context the designations Peuhl and Mbororo seem to often be used interchangeably (*see* P‑2546 Statement, CAR-OTP-2114-0402-R01, at 0408, para. 23; P-2416 Statement, CAR-OTP-2106-0489-R02, at 0493, para. 13).","Specifically, Adama Djigaou, a Mbororo woman, described in detail how her large group of Mbororo was attacked by the Anti-Balaka in the bush when talking towards Yaloké, leading to people being injured and killed, including 12 members of their family. The witness stated that when the group then walked further towards Gaga, they again encountered the Anti-Balaka, whom she later learned were 'Colonel Richal's' men, who looted their remaining cattle and walked them to Gaga, where 'Colonel Richal' said that he would protect the Mbororo from being killed by the Anti-Balaka as he had trained them, that he was sorry for what he had done in the towns, and therefore had instructed his Anti-Balaka not to hurt the Mbororo. Adama Djigaou stated that the Mbororo group remained in Gaga for approximately one month and was then transferred to a big compound in Yaloké centre, where it was overcrowded and they spent approximately one month. The witness stated that the Anti-Balaka guarding the compound was unarmed and they could pray in the open, but that the Anti-Balaka groups from other towns present in Yaloké would have harmed them because they wanted to kill the Muslims. Adama Djigaou stated that the Mbororo were later moved by MISCA to the Yaloké town hall where they remained for two years, still receiving unsuitable food, which led to some deaths; she eventually decided to go to a refugee camp in Cameroon. The witness heard that all the Muslims had fled from Yaloké and that none of the Muslims' shops were open and saw that some of the shops had been destroyed."
1972,,,5055,"P-2486 Statement, CAR-OTP-2116-0281-R01, at 0285-87, paras 17-24, at 0287-88, paras 27-28.","Specifically, Adama Djigaou, a Mbororo woman, described in detail how her large group of Mbororo was attacked by the Anti-Balaka in the bush when talking towards Yaloké, leading to people being injured and killed, including 12 members of their family. The witness stated that when the group then walked further towards Gaga, they again encountered the Anti-Balaka, whom she later learned were 'Colonel Richal's' men, who looted their remaining cattle and walked them to Gaga, where 'Colonel Richal' said that he would protect the Mbororo from being killed by the Anti-Balaka as he had trained them, that he was sorry for what he had done in the towns, and therefore had instructed his Anti-Balaka not to hurt the Mbororo. Adama Djigaou stated that the Mbororo group remained in Gaga for approximately one month and was then transferred to a big compound in Yaloké centre, where it was overcrowded and they spent approximately one month. The witness stated that the Anti-Balaka guarding the compound was unarmed and they could pray in the open, but that the Anti-Balaka groups from other towns present in Yaloké would have harmed them because they wanted to kill the Muslims. Adama Djigaou stated that the Mbororo were later moved by MISCA to the Yaloké town hall where they remained for two years, still receiving unsuitable food, which led to some deaths; she eventually decided to go to a refugee camp in Cameroon. The witness heard that all the Muslims had fled from Yaloké and that none of the Muslims' shops were open and saw that some of the shops had been destroyed."
1972,,,5056,"P-2486 Statement, CAR-OTP-2116-0281-R01, at 0288, paras 28, 30, at 0289, paras 33-34.","Specifically, Adama Djigaou, a Mbororo woman, described in detail how her large group of Mbororo was attacked by the Anti-Balaka in the bush when talking towards Yaloké, leading to people being injured and killed, including 12 members of their family. The witness stated that when the group then walked further towards Gaga, they again encountered the Anti-Balaka, whom she later learned were 'Colonel Richal's' men, who looted their remaining cattle and walked them to Gaga, where 'Colonel Richal' said that he would protect the Mbororo from being killed by the Anti-Balaka as he had trained them, that he was sorry for what he had done in the towns, and therefore had instructed his Anti-Balaka not to hurt the Mbororo. Adama Djigaou stated that the Mbororo group remained in Gaga for approximately one month and was then transferred to a big compound in Yaloké centre, where it was overcrowded and they spent approximately one month. The witness stated that the Anti-Balaka guarding the compound was unarmed and they could pray in the open, but that the Anti-Balaka groups from other towns present in Yaloké would have harmed them because they wanted to kill the Muslims. Adama Djigaou stated that the Mbororo were later moved by MISCA to the Yaloké town hall where they remained for two years, still receiving unsuitable food, which led to some deaths; she eventually decided to go to a refugee camp in Cameroon. The witness heard that all the Muslims had fled from Yaloké and that none of the Muslims' shops were open and saw that some of the shops had been destroyed."
1972,,,5057,"P-2486 Statement, CAR-OTP-2116-0281-R01, at 0288, para. 32, at 0289, para. 35, at 0290, para. 38, at 0290, paras 40-41.","Specifically, Adama Djigaou, a Mbororo woman, described in detail how her large group of Mbororo was attacked by the Anti-Balaka in the bush when talking towards Yaloké, leading to people being injured and killed, including 12 members of their family. The witness stated that when the group then walked further towards Gaga, they again encountered the Anti-Balaka, whom she later learned were 'Colonel Richal's' men, who looted their remaining cattle and walked them to Gaga, where 'Colonel Richal' said that he would protect the Mbororo from being killed by the Anti-Balaka as he had trained them, that he was sorry for what he had done in the towns, and therefore had instructed his Anti-Balaka not to hurt the Mbororo. Adama Djigaou stated that the Mbororo group remained in Gaga for approximately one month and was then transferred to a big compound in Yaloké centre, where it was overcrowded and they spent approximately one month. The witness stated that the Anti-Balaka guarding the compound was unarmed and they could pray in the open, but that the Anti-Balaka groups from other towns present in Yaloké would have harmed them because they wanted to kill the Muslims. Adama Djigaou stated that the Mbororo were later moved by MISCA to the Yaloké town hall where they remained for two years, still receiving unsuitable food, which led to some deaths; she eventually decided to go to a refugee camp in Cameroon. The witness heard that all the Muslims had fled from Yaloké and that none of the Muslims' shops were open and saw that some of the shops had been destroyed."
1972,,,5058,"P-2486 Statement, CAR-OTP-2116-0281-R01, at 0290-91, para. 42, at 0292, para. 46.","Specifically, Adama Djigaou, a Mbororo woman, described in detail how her large group of Mbororo was attacked by the Anti-Balaka in the bush when talking towards Yaloké, leading to people being injured and killed, including 12 members of their family. The witness stated that when the group then walked further towards Gaga, they again encountered the Anti-Balaka, whom she later learned were 'Colonel Richal's' men, who looted their remaining cattle and walked them to Gaga, where 'Colonel Richal' said that he would protect the Mbororo from being killed by the Anti-Balaka as he had trained them, that he was sorry for what he had done in the towns, and therefore had instructed his Anti-Balaka not to hurt the Mbororo. Adama Djigaou stated that the Mbororo group remained in Gaga for approximately one month and was then transferred to a big compound in Yaloké centre, where it was overcrowded and they spent approximately one month. The witness stated that the Anti-Balaka guarding the compound was unarmed and they could pray in the open, but that the Anti-Balaka groups from other towns present in Yaloké would have harmed them because they wanted to kill the Muslims. Adama Djigaou stated that the Mbororo were later moved by MISCA to the Yaloké town hall where they remained for two years, still receiving unsuitable food, which led to some deaths; she eventually decided to go to a refugee camp in Cameroon. The witness heard that all the Muslims had fled from Yaloké and that none of the Muslims' shops were open and saw that some of the shops had been destroyed."
1972,,,5059,"P-2486 Statement, CAR-OTP-2116-0281-R01, at 0291-95, paras 44-59. *See also* P-1576 Statement, CAR-OTP-2060-0280-R01, at 0286, para. 40 (the witness visited Yaloké in December 2014 and found 500 displaced Peuhls who had arrived there seven months earlier because they had been attacked and their cattle looted by Anti-Balaka); Photographs, CAR-OTP-2061-4483; CAR-OTP-2061-4484; CAR-OTP-2061-4485; CAR-OTP-2061-4486; CAR-OTP-2061-4488; CAR-OTP-2061-4489; CAR-OTP-2061-4490; CAR-OTP-2061-4491; CAR-OTP-2061-4492; CAR-OTP-2061-4493; Metadata, CAR-OTP-2075-0074, at 0375-78, 0380-85.","Specifically, Adama Djigaou, a Mbororo woman, described in detail how her large group of Mbororo was attacked by the Anti-Balaka in the bush when talking towards Yaloké, leading to people being injured and killed, including 12 members of their family. The witness stated that when the group then walked further towards Gaga, they again encountered the Anti-Balaka, whom she later learned were 'Colonel Richal's' men, who looted their remaining cattle and walked them to Gaga, where 'Colonel Richal' said that he would protect the Mbororo from being killed by the Anti-Balaka as he had trained them, that he was sorry for what he had done in the towns, and therefore had instructed his Anti-Balaka not to hurt the Mbororo. Adama Djigaou stated that the Mbororo group remained in Gaga for approximately one month and was then transferred to a big compound in Yaloké centre, where it was overcrowded and they spent approximately one month. The witness stated that the Anti-Balaka guarding the compound was unarmed and they could pray in the open, but that the Anti-Balaka groups from other towns present in Yaloké would have harmed them because they wanted to kill the Muslims. Adama Djigaou stated that the Mbororo were later moved by MISCA to the Yaloké town hall where they remained for two years, still receiving unsuitable food, which led to some deaths; she eventually decided to go to a refugee camp in Cameroon. The witness heard that all the Muslims had fled from Yaloké and that none of the Muslims' shops were open and saw that some of the shops had been destroyed."
1972,,,5060,"P-2486 Statement, CAR-OTP-2116-0281-R01, at 0293-94, para. 55.","Specifically, Adama Djigaou, a Mbororo woman, described in detail how her large group of Mbororo was attacked by the Anti-Balaka in the bush when talking towards Yaloké, leading to people being injured and killed, including 12 members of their family. The witness stated that when the group then walked further towards Gaga, they again encountered the Anti-Balaka, whom she later learned were 'Colonel Richal's' men, who looted their remaining cattle and walked them to Gaga, where 'Colonel Richal' said that he would protect the Mbororo from being killed by the Anti-Balaka as he had trained them, that he was sorry for what he had done in the towns, and therefore had instructed his Anti-Balaka not to hurt the Mbororo. Adama Djigaou stated that the Mbororo group remained in Gaga for approximately one month and was then transferred to a big compound in Yaloké centre, where it was overcrowded and they spent approximately one month. The witness stated that the Anti-Balaka guarding the compound was unarmed and they could pray in the open, but that the Anti-Balaka groups from other towns present in Yaloké would have harmed them because they wanted to kill the Muslims. Adama Djigaou stated that the Mbororo were later moved by MISCA to the Yaloké town hall where they remained for two years, still receiving unsuitable food, which led to some deaths; she eventually decided to go to a refugee camp in Cameroon. The witness heard that all the Muslims had fled from Yaloké and that none of the Muslims' shops were open and saw that some of the shops had been destroyed."
1973,witness_P,P-2325,5061,"P-2325 Statement, CAR-OTP-2100-2386-R02, at 2403, para. 69.","P-2325 stated that many Peuhls with their cattle were present around Yaloké and he heard the Anti-Balaka killed a lot of them in the bush to steal their cattle, while those who survived gathered in the sub-prefecture compound and were guarded by MISCA. P-2325 stated that he travelled there during the conflict, where he noticed over a thousand displaced people living in terrible conditions who could not leave for fear of the Anti-Balaka who were still active in the town and bragged about killing the Peuhls."
1973,witness_P,P-2325,5062,"P-2325 Statement, CAR-OTP-2100-2386-R02, at 2403, para. 69.","P-2325 stated that many Peuhls with their cattle were present around Yaloké and he heard the Anti-Balaka killed a lot of them in the bush to steal their cattle, while those who survived gathered in the sub-prefecture compound and were guarded by MISCA. P-2325 stated that he travelled there during the conflict, where he noticed over a thousand displaced people living in terrible conditions who could not leave for fear of the Anti-Balaka who were still active in the town and bragged about killing the Peuhls."
1974,witness_P,P-2416,5063,"P-2416 Statement, CAR-OTP-2106-0489-R02, at 0531, para. 109.","P-2416 stated that he heard about Peuhls being captured by the Anti-Balaka and placed in an enclave in Yaloké. P-2416 said he met about eight of the Peuhls at a conference who asked him to help them escape the Anti-Balaka and told him that they were hostages and had buried 51 of their people, who had been killed or had since died of illness, over 100 of them were still at the enclave."
1974,witness_P,P-2416,5064,"P-2416 Statement, CAR-OTP-2106-0489-R02, at 0532, para. 113.","P-2416 stated that he heard about Peuhls being captured by the Anti-Balaka and placed in an enclave in Yaloké. P-2416 said he met about eight of the Peuhls at a conference who asked him to help them escape the Anti-Balaka and told him that they were hostages and had buried 51 of their people, who had been killed or had since died of illness, over 100 of them were still at the enclave."
1975,witness_P,P-2546,5065,"P-2546 Statement, CAR-OTP-2114-0402-R01, at 0426, para. 82, at 0431, para. 100.","P-2546 stated that he went to the Yaloké hospital in March or April 2014, where 15 to 20 Peuhls fleeing the Anti-Balaka in Lobaye had been admitted for serious injuries seemingly caused by machetes, and they had been attacked by the Anti-Balaka as they approached the outskirts of Yaloké. P-2546 said he had seen a lot of meat being sold at the Yaloké market and realised that these were the animals from the Peuhls. P-2546 stated that when the Peuhls were moved to the administrative buildings, they were no longer of interest to the Anti-Balaka because they did not have their animals anymore."
1975,witness_P,P-2546,5066,"P-2546 Statement, CAR-OTP-2114-0402-R01, at 0427, para. 84.","P-2546 stated that he went to the Yaloké hospital in March or April 2014, where 15 to 20 Peuhls fleeing the Anti-Balaka in Lobaye had been admitted for serious injuries seemingly caused by machetes, and they had been attacked by the Anti-Balaka as they approached the outskirts of Yaloké. P-2546 said he had seen a lot of meat being sold at the Yaloké market and realised that these were the animals from the Peuhls. P-2546 stated that when the Peuhls were moved to the administrative buildings, they were no longer of interest to the Anti-Balaka because they did not have their animals anymore."
1975,witness_P,P-2546,5067,"P-2546 Statement, CAR-OTP-2114-0402-R01, at 0438, para. 124.","P-2546 stated that he went to the Yaloké hospital in March or April 2014, where 15 to 20 Peuhls fleeing the Anti-Balaka in Lobaye had been admitted for serious injuries seemingly caused by machetes, and they had been attacked by the Anti-Balaka as they approached the outskirts of Yaloké. P-2546 said he had seen a lot of meat being sold at the Yaloké market and realised that these were the animals from the Peuhls. P-2546 stated that when the Peuhls were moved to the administrative buildings, they were no longer of interest to the Anti-Balaka because they did not have their animals anymore."
1976,witness_P,P-2546,5068,"P-2546 Statement, CAR-OTP-2114-0402-R01, at 0429-30, paras 92-98.","P-2546 stated that 20 Peuhls from the hospital were accommodated by Le Bleu at the compound opposite his compound, approximately 100 Peuhl men were in the bush in Djobeu surrounded by Anti-Balaka, and Peuhl women and children were in Gbawi. P-2546 said that the Peuhl men told him they had lost everything and were in terrible living conditions and lacked food. P-2546 stated that 'General Richard' took all Peuhls from the bush to the compound opposite Le Bleu's compound and asked the archbishop to take care of them, with surveys giving numbers of 800 and then 918 Peuhl men, women and children there. P-2546 stated that the compound was not large enough and the sanitary situation was appalling, and the Peuhls were moved to the administrative buildings, where their living conditions improved and MINUSCA were responsible for protecting them. P-2546 stated that initially there was tension between the Peuhls and local population, with the latter feeling victimised because they had not received any humanitarian aid, as opposed to the Peuhls. P-2546 stated the Peuhls were eventually moved to a camp in 2015 and most of them went to Cameroon."
1976,witness_P,P-2546,5069,"P-2546 Statement, CAR-OTP-2114-0402-R01, at 0430, paras 96, 98, at 0431, para. 100.","P-2546 stated that 20 Peuhls from the hospital were accommodated by Le Bleu at the compound opposite his compound, approximately 100 Peuhl men were in the bush in Djobeu surrounded by Anti-Balaka, and Peuhl women and children were in Gbawi. P-2546 said that the Peuhl men told him they had lost everything and were in terrible living conditions and lacked food. P-2546 stated that 'General Richard' took all Peuhls from the bush to the compound opposite Le Bleu's compound and asked the archbishop to take care of them, with surveys giving numbers of 800 and then 918 Peuhl men, women and children there. P-2546 stated that the compound was not large enough and the sanitary situation was appalling, and the Peuhls were moved to the administrative buildings, where their living conditions improved and MINUSCA were responsible for protecting them. P-2546 stated that initially there was tension between the Peuhls and local population, with the latter feeling victimised because they had not received any humanitarian aid, as opposed to the Peuhls. P-2546 stated the Peuhls were eventually moved to a camp in 2015 and most of them went to Cameroon."
1976,witness_P,P-2546,5070,"P-2546 Statement, CAR-OTP-2114-0402-R01, at 0433, para. 108, at 0434, para. 110.","P-2546 stated that 20 Peuhls from the hospital were accommodated by Le Bleu at the compound opposite his compound, approximately 100 Peuhl men were in the bush in Djobeu surrounded by Anti-Balaka, and Peuhl women and children were in Gbawi. P-2546 said that the Peuhl men told him they had lost everything and were in terrible living conditions and lacked food. P-2546 stated that 'General Richard' took all Peuhls from the bush to the compound opposite Le Bleu's compound and asked the archbishop to take care of them, with surveys giving numbers of 800 and then 918 Peuhl men, women and children there. P-2546 stated that the compound was not large enough and the sanitary situation was appalling, and the Peuhls were moved to the administrative buildings, where their living conditions improved and MINUSCA were responsible for protecting them. P-2546 stated that initially there was tension between the Peuhls and local population, with the latter feeling victimised because they had not received any humanitarian aid, as opposed to the Peuhls. P-2546 stated the Peuhls were eventually moved to a camp in 2015 and most of them went to Cameroon."
1976,witness_P,P-2546,5071,"P-2546 Statement, CAR-OTP-2114-0402-R01, at 0434, para. 109, at 0435, paras 113-114, at 0435-36, paras 116-118, at 0437, para. 121. *See also* Satellite image, CAR-OTP-2114-0445-R01; Report, CAR-OTP-2092-1998.","P-2546 stated that 20 Peuhls from the hospital were accommodated by Le Bleu at the compound opposite his compound, approximately 100 Peuhl men were in the bush in Djobeu surrounded by Anti-Balaka, and Peuhl women and children were in Gbawi. P-2546 said that the Peuhl men told him they had lost everything and were in terrible living conditions and lacked food. P-2546 stated that 'General Richard' took all Peuhls from the bush to the compound opposite Le Bleu's compound and asked the archbishop to take care of them, with surveys giving numbers of 800 and then 918 Peuhl men, women and children there. P-2546 stated that the compound was not large enough and the sanitary situation was appalling, and the Peuhls were moved to the administrative buildings, where their living conditions improved and MINUSCA were responsible for protecting them. P-2546 stated that initially there was tension between the Peuhls and local population, with the latter feeling victimised because they had not received any humanitarian aid, as opposed to the Peuhls. P-2546 stated the Peuhls were eventually moved to a camp in 2015 and most of them went to Cameroon."
1976,witness_P,P-2546,5072,"P-2546 Statement, CAR-OTP-2114-0402-R01, at 0436-37, para. 119.","P-2546 stated that 20 Peuhls from the hospital were accommodated by Le Bleu at the compound opposite his compound, approximately 100 Peuhl men were in the bush in Djobeu surrounded by Anti-Balaka, and Peuhl women and children were in Gbawi. P-2546 said that the Peuhl men told him they had lost everything and were in terrible living conditions and lacked food. P-2546 stated that 'General Richard' took all Peuhls from the bush to the compound opposite Le Bleu's compound and asked the archbishop to take care of them, with surveys giving numbers of 800 and then 918 Peuhl men, women and children there. P-2546 stated that the compound was not large enough and the sanitary situation was appalling, and the Peuhls were moved to the administrative buildings, where their living conditions improved and MINUSCA were responsible for protecting them. P-2546 stated that initially there was tension between the Peuhls and local population, with the latter feeling victimised because they had not received any humanitarian aid, as opposed to the Peuhls. P-2546 stated the Peuhls were eventually moved to a camp in 2015 and most of them went to Cameroon."
1976,witness_P,P-2546,5073,"P-2546 Statement, CAR-OTP-2114-0402-R01, at 0438, paras 125-126.","P-2546 stated that 20 Peuhls from the hospital were accommodated by Le Bleu at the compound opposite his compound, approximately 100 Peuhl men were in the bush in Djobeu surrounded by Anti-Balaka, and Peuhl women and children were in Gbawi. P-2546 said that the Peuhl men told him they had lost everything and were in terrible living conditions and lacked food. P-2546 stated that 'General Richard' took all Peuhls from the bush to the compound opposite Le Bleu's compound and asked the archbishop to take care of them, with surveys giving numbers of 800 and then 918 Peuhl men, women and children there. P-2546 stated that the compound was not large enough and the sanitary situation was appalling, and the Peuhls were moved to the administrative buildings, where their living conditions improved and MINUSCA were responsible for protecting them. P-2546 stated that initially there was tension between the Peuhls and local population, with the latter feeling victimised because they had not received any humanitarian aid, as opposed to the Peuhls. P-2546 stated the Peuhls were eventually moved to a camp in 2015 and most of them went to Cameroon."
1977,witness_P,P-1577,5074,"P-1577 First Statement, CAR-OTP-2081-0769-R01, at 0822, para. 77.",P-1577 visited Yaloké again in January 2015 where he encountered a group of Peuhl that had been trapped in a makeshift camp in an old school due to the town administration and the Peuhls telling him that they had initially fled there for their own protection. ######
1977,witness_P,P-1577,5075,"P-1577 First Statement, CAR-OTP-2081-0769-R01, at 0823-24; P-1577: T-027, p. 97, line 18 -- p. 99, line 12. *See e.g.* Photograph, CAR-OTP-2087-4252; Metadata, CAR-OTP-2087-4253; CAR-OTP-2087-4522-R01; Photograph, CAR-OTP-2087-4282; Metadata, CAR-OTP-2087-4283; CAR-OTP-2087-4537; Photograph, CAR-OTP-2087-4292; Metadata, CAR-OTP-2087-4293; CAR-OTP-2087-4540; Photograph, CAR-OTP-2087-4342; Metadata, CAR-OTP-2087-4343; CAR-OTP-2087-4567; Photograph, CAR-OTP-2087-4352; Metadata, CAR-OTP-2087-4353; CAR-OTP-2087-4573-R01.",P-1577 visited Yaloké again in January 2015 where he encountered a group of Peuhl that had been trapped in a makeshift camp in an old school due to the town administration and the Peuhls telling him that they had initially fled there for their own protection. ######
1978,,,,,"Bossemptélé -- 18 January 2014The evidence as outlined below shows that in January 2014, an Anti-Balaka group attacked Bossemptélé, leading to Muslim civilians being killed while others dislocated and sought refuge at the local church."
1979,witness_P,P-2041,5076,"P-2041 Statement, CAR-OTP-2104-0003-R02, at 0011, para. 49.","P-2041, a deputy imam in the Lobaye prefecture at the relevant time, stated that he heard through the Muslim community which kept in contact with their families in other towns and villages and were aware of what was happening in Bouca, Yaloké, Bossembélé, Bossemptélé, Bogangolo and Bangui that these towns were all attacked by the Anti-Balaka, people were killed and houses destroyed. P-2041 stated that this was also being reported on the news and television."
1979,witness_P,P-2041,5077,"P-2041 Statement, CAR-OTP-2104-0003-R02, at 0011, para. 49.","P-2041, a deputy imam in the Lobaye prefecture at the relevant time, stated that he heard through the Muslim community which kept in contact with their families in other towns and villages and were aware of what was happening in Bouca, Yaloké, Bossembélé, Bossemptélé, Bogangolo and Bangui that these towns were all attacked by the Anti-Balaka, people were killed and houses destroyed. P-2041 stated that this was also being reported on the news and television."
1980,witness_P,P-1576,5078,"P-1576 Statement, CAR-OTP-2060-0280-R01, at 0285, para. 30. *See* Photographs, CAR-OTP-2061-4402; CAR-OTP-2061-4403; CAR-OTP-2061-4404; Metadata, CAR-OTP-2075-0074, at 0256-58.","P-1576, a journalist, stated that on 30 January 2014, he took pictures of the houses and shops of Muslims in Bossemptélé which had been looted. P-1576 stated that on 30 January 2014, while he was on his way from Bozoum to Bossemptélé, he met Anti‑Balaka elements between Zawa and Bossemptélé who told him that they had just attacked a Peuhl village."
1980,witness_P,P-1576,5079,"P-1576 Statement, CAR-OTP-2060-0280-R01, at 0285, para. 30.","P-1576, a journalist, stated that on 30 January 2014, he took pictures of the houses and shops of Muslims in Bossemptélé which had been looted. P-1576 stated that on 30 January 2014, while he was on his way from Bozoum to Bossemptélé, he met Anti‑Balaka elements between Zawa and Bossemptélé who told him that they had just attacked a Peuhl village."
1981,witness_P,P-1577,5080,"P-1577 First Statement, CAR-OTP-2081-0769-R01, at 0818, para. 65, at 0819-20; P-1577: T-027, p. 93, line 13 -- p. 95, line 25. *See e.g.* Photograph, CAR-OTP-2087-3071; Metadata, CAR-OTP-2087-3072; CAR-OTP-2087-3670.","P-1577, another journalist, stated that he heard from individuals he met in a refugee camp in Cameroon in October 2014 that they had been attacked in Bossemptélé by the Anti‑Balaka. P-1577 stated that when he visited Bossemptélé in January 2015, he found about 20 Muslims who had fled violence in the surrounding region, but no other Muslims living in Bossemptélé by this time."
1981,witness_P,P-1577,5081,"P-1577 First Statement, CAR-OTP-2081-0769-R01, at 0822, para. 77, at 0824-25. *See e.g.* Photograph, CAR-OTP-2087-4322; Metadata, CAR-OTP-2087-4323; CAR-OTP-2087-4558; Photograph, CAR-OTP-2087-4332; Metadata, CAR-OTP-2087-4333; CAR-OTP-2087-4564-R01.","P-1577, another journalist, stated that he heard from individuals he met in a refugee camp in Cameroon in October 2014 that they had been attacked in Bossemptélé by the Anti‑Balaka. P-1577 stated that when he visited Bossemptélé in January 2015, he found about 20 Muslims who had fled violence in the surrounding region, but no other Muslims living in Bossemptélé by this time."
1982,,,5082,"Audio, CAR-OTP-2088-0663, at 00:06:45-00:07:29; Transcript, CAR-OTP-2127-6276, at 6279, lines 86-92; Translation, CAR-OTP-2127-6401, at 6405, lines 98-105.","A priest from Bossemptélé, Bernard Kinvi, stated in an interview later in 2014 that when the Seleka had left the town, the Anti-Balaka set up there, leading to tension with certain Muslims who wanted to resist, and that this led to violence claiming several victims. The priest continued that when he walked through the town after the fighting had ended, he found numerous Muslims dead or injured, including women and children."
1982,,,5083,"Audio, CAR-OTP-2088-0663, at 00:07:29-00:07:55; Transcript, CAR-OTP-2127-6276, at 6279, lines 93-98; Translation, CAR-OTP-2127-6401, at 6405, lines 106-111.","A priest from Bossemptélé, Bernard Kinvi, stated in an interview later in 2014 that when the Seleka had left the town, the Anti-Balaka set up there, leading to tension with certain Muslims who wanted to resist, and that this led to violence claiming several victims. The priest continued that when he walked through the town after the fighting had ended, he found numerous Muslims dead or injured, including women and children."
1983,,,5084,"Video, CAR-OTP-2082-0646, at 00:02:43-00:04:52; Transcript, CAR-OTP-2127-4519, at 4521, lines 41-61; Translation, CAR-OTP-2127-4611, at 4614, lines 46-69.","In another interview, the priest described how, when the Anti-Balaka arrived to town, they wanted to negotiate to see if the Anti-Balaka would stop any armed confrontation, but they would not listen and there was confrontation, with some Muslims managing to flee, while many went into the bush, were not able to flee, and were killed, and him managing to save some, including a 13-year old boy whom the Anti-Balaka wanted to kill because they said he would grow up to be a man and should be killed. He further stated that several months after the attack, the situation was precariously calm, in that the Anti-Balaka were still there, and still armed."
1983,,,5085,"Video, CAR-OTP-2082-0646, at 00:01:10-00:01:43; Transcript, CAR-OTP-2127-4519, at 4520, lines 24-29; Translation, CAR-OTP-2127-4611, at 4613, lines 28-33. *See also* Press article, CAR-OTP-2001-5305, at 5337.","In another interview, the priest described how, when the Anti-Balaka arrived to town, they wanted to negotiate to see if the Anti-Balaka would stop any armed confrontation, but they would not listen and there was confrontation, with some Muslims managing to flee, while many went into the bush, were not able to flee, and were killed, and him managing to save some, including a 13-year old boy whom the Anti-Balaka wanted to kill because they said he would grow up to be a man and should be killed. He further stated that several months after the attack, the situation was precariously calm, in that the Anti-Balaka were still there, and still armed."
1984,,,5086,"Video, CAR-OTP-2088-0977; Transcript, CAR-OTP-2087-0317; Translation, CAR-OTP-2089-0323.","In a video showing various individuals with weapons and in civilian clothing, seemingly bearing gris-gris, an individual identified as 'Président' is shown stating that after walking through the bushes and having fought in Bouar up to Bozoum, they were now walking onto Bossemptélé. He stated that he would go to Bossemptélé 'today' and that he wanted the Seleka to be disarmed. A person identified as the first's 'deputy' stated further that every Muslim was in connivance with the Seleka, they were in fact all Seleka, military, rebels that Djotodia brought in. Another individual identified as 'secretary' stated that they no longer wanted to see any Mbororo or Muslims in Boyaram, they had to leave, and if they did not want them to attack Bossemptélé, the 'colonel' had to send 50 million CFA."
1984,,,5087,"Translation, CAR-OTP-2089-0323, at 0327, lines 64-77.","In a video showing various individuals with weapons and in civilian clothing, seemingly bearing gris-gris, an individual identified as 'Président' is shown stating that after walking through the bushes and having fought in Bouar up to Bozoum, they were now walking onto Bossemptélé. He stated that he would go to Bossemptélé 'today' and that he wanted the Seleka to be disarmed. A person identified as the first's 'deputy' stated further that every Muslim was in connivance with the Seleka, they were in fact all Seleka, military, rebels that Djotodia brought in. Another individual identified as 'secretary' stated that they no longer wanted to see any Mbororo or Muslims in Boyaram, they had to leave, and if they did not want them to attack Bossemptélé, the 'colonel' had to send 50 million CFA."
